Timestamp,TC Compressor - SP,TC Compressor - PV,TC Compressor - OP,
         0.5,     33.3274,     33.3274,          50,
        60.5,      33.327,      33.327,          50,
       120.5,     33.3263,     33.3263,          50,
       180.5,     33.3257,     33.3257,          50,
       240.5,     33.3253,     33.3253,          50,
       300.5,      33.325,      33.325,          50,
       360.5,     33.3248,     33.3248,          50,
       420.5,     33.3247,     33.3247,          50,
       480.5,     33.3247,     33.3247,          50,
       540.5,     33.3248,     33.3248,          50,
       600.5,     33.3249,     33.3249,          50,
       660.5,      33.325,      33.325,          50,
       720.5,     33.3251,     33.3251,          50,
       780.5,     33.3252,     33.3252,          50,
       840.5,     33.3254,     33.3254,          50,
       900.5,     33.3255,     33.3255,          50,
       960.5,     33.3256,     33.3256,          50,
      1020.5,     33.3255,     33.3255,          50,
      1080.5,     33.3353,     33.3353,     66.4357,
      1140.5,     33.3971,     33.3977,      74.024,
      1200.5,     33.3978,     33.4821,     81.1397,
      1260.5,     33.3999,     33.5686,     85.2963,
      1320.5,     33.4034,     33.6429,      85.042,
      1380.5,     33.4078,     33.6982,     83.7409,
      1440.5,     33.4129,     33.7348,     81.5222,
      1500.5,     33.4184,     33.7538,     78.3506,
      1560.5,      33.424,     33.7578,     75.6062,
      1620.5,     33.4295,     33.7512,     72.9103,
      1680.5,     33.4347,     33.7364,     70.3076,
      1740.5,     33.4395,     33.7153,     67.3575,
      1800.5,     33.4439,     33.6895,      65.136,
      1860.5,     33.4477,     33.6616,     63.3648,
      1920.5,      33.451,     33.6335,     61.7628,
      1980.5,     33.4538,     33.6063,     60.5618,
      2040.5,     33.4561,     33.5812,     59.5666,
      2100.5,      33.458,     33.5586,     58.8299,
      2160.5,     33.4595,      33.539,       58.35,
      2220.5,     33.4607,     33.5227,     58.0318,
      2280.5,     33.4616,     33.5097,      57.871,
      2340.5,     33.4623,     33.4999,     57.8316,
      2400.5,     33.4628,     33.4931,     57.8718,
      2460.5,     33.4633,     33.4888,     57.9727,
      2520.5,     33.4637,     33.4867,     58.0917,
      2580.5,     33.4641,     33.4862,     58.2089,
      2640.5,     33.4645,     33.4869,     58.3326,
      2700.5,     33.4648,     33.4885,      58.442,
      2760.5,     33.4652,     33.4906,     58.5374,
      2820.5,     33.4657,      33.493,     58.6052,
      2880.5,     33.4662,     33.4955,     58.6496,
      2940.5,     33.4667,     33.4979,     58.6611,
      3000.5,     33.4672,        33.5,       58.65,
      3060.5,     33.4678,     33.5018,      58.616,
      3120.5,     33.4683,     33.5032,     58.5664,
      3180.5,     33.4689,     33.5043,     58.5042,
      3240.5,     33.4695,      33.505,     58.4358,
      3300.5,     33.4701,     33.5054,     58.3645,
      3360.5,     33.4707,     33.5056,     58.3076,
      3420.5,     33.4713,     33.5057,     58.2591,
      3480.5,     33.4718,     33.5057,     58.2194,
      3540.5,     33.4724,     33.5056,     58.1711,
      3600.5,     33.4729,     33.5053,     58.1013,
      3660.5,     33.4735,     33.5043,     58.0353,
      3720.5,      33.474,     33.5033,     57.9802,
      3780.5,     33.4744,     33.5023,     57.9359,
      3840.5,     33.4749,     33.5012,     57.9002,
      3900.5,     33.4753,     33.5003,     57.8771,
      3960.5,     33.4757,     33.4995,     57.8637,
      4020.5,     33.4761,     33.4988,     57.8577,
      4080.5,     33.4765,     33.4983,     57.8574,
      4140.5,     33.4768,     33.4979,     57.8607,
      4200.5,     33.4772,     33.4978,     57.8652,
      4260.5,     33.4775,     33.4977,     57.8696,
      4320.5,     33.4779,     33.4977,     57.8735,
      4380.5,     33.4782,     33.4979,     57.8776,
      4440.5,     33.4785,      33.498,     57.8805,
      4500.5,     33.4788,     33.4983,     57.8821,
      4560.5,     33.4792,     33.4985,     57.8813,
      4620.5,     33.4795,     33.4987,     57.8787,
      4680.5,     33.4798,     33.4987,     57.8762,
      4740.5,     33.4801,     33.4988,     57.8738,
      4800.5,     33.4804,     33.4989,     57.8701,
      4860.5,     33.4807,     33.4991,     57.8646,
      4920.5,      33.481,     33.4994,     57.8566,
      4980.5,     33.4813,     33.4997,     57.8454,
      5040.5,     33.4817,     33.5001,     57.8297,
      5100.5,      33.482,     33.5003,     57.8129,
      5160.5,     33.4823,     33.5005,     57.7962,
      5220.5,     33.4826,     33.5006,      57.781,
      5280.5,     33.4829,     33.5007,      57.766,
      5340.5,     33.4832,     33.5007,     57.7522,
      5400.5,     33.4834,     33.5007,     57.7384,
      5460.5,     33.4837,     33.5007,     57.7244,
      5520.5,      33.484,     33.5007,     57.7105,
      5580.5,     33.4843,     33.5007,     57.6965,
      5640.5,     33.4846,     33.5008,     57.6824,
      5700.5,     33.4848,     33.5008,     57.6683,
      5760.5,     33.4851,     33.5008,     57.6541,
      5820.5,     33.4854,     33.5008,     57.6397,
      5880.5,     33.4856,     33.5008,     57.6253,
      5940.5,     33.4859,     33.5008,     57.6107,
      6000.5,     33.4861,     33.5009,     57.5976,
      6060.5,     33.4864,     33.5009,     57.5828,
      6120.5,     33.4866,     33.5009,     57.5681,
      6180.5,     33.4868,     33.5009,     57.5532,
      6240.5,     33.4871,     33.5009,     57.5383,
      6300.5,     33.4873,     33.5009,     57.5233,
      6360.5,     33.4875,     33.5009,     57.5084,
      6420.5,     33.4877,     33.5009,     57.4942,
      6480.5,      33.488,     33.5009,     57.4807,
      6540.5,     33.4882,     33.5009,     57.4656,
      6600.5,     33.4884,     33.5009,     57.4506,
      6660.5,     33.4886,     33.5009,     57.4354,
      6720.5,     33.4888,      33.501,     57.4218,
      6780.5,      33.489,      33.501,     57.4065,
      6840.5,     33.4892,      33.501,     57.3912,
      6900.5,     33.4894,      33.501,     57.3767,
      6960.5,     33.4896,      33.501,     57.3606,
      7020.5,     33.4898,      33.501,      57.346,
      7080.5,       33.49,      33.501,     57.3308,
      7140.5,     33.4901,      33.501,      57.317,
      7200.5,     33.4903,      33.501,     57.3018,
      7260.5,     33.4905,      33.501,     57.2865,
      7320.5,     33.4907,      33.501,     57.2713,
      7380.5,     33.4908,      33.501,     57.2561,
      7440.5,      33.491,      33.501,     57.2424,
      7500.5,     33.4912,      33.501,     57.2272,
      7560.5,     33.4913,      33.501,     57.2121,
      7620.5,     33.4915,      33.501,      57.197,
      7680.5,     33.4916,      33.501,     57.1827,
      7740.5,     33.4918,     33.5009,     57.1692,
      7800.5,     33.4919,     33.5009,     57.1543,
