Timestamp,TC Compressor - SP,TC Compressor - PV,TC Compressor - OP,
         0.5,     33.6226,     33.6226,          65,
        60.5,     33.6259,     33.6259,          65,
       120.5,     33.6291,     33.6291,          65,
       180.5,     33.6322,     33.6322,          65,
       240.5,     33.6353,     33.6353,          65,
       300.5,     33.6382,     33.6382,          65,
       360.5,     33.6411,     33.6411,          65,
       420.5,     33.6439,     33.6439,          65,
       480.5,     33.6465,     33.6465,          65,
       540.5,     33.6491,     33.6491,          65,
       600.5,     33.6483,     33.6483,     65.1228,
       660.5,     33.6555,     33.6555,     69.5528,
       720.5,     33.6729,     33.6729,     71.3138,
       780.5,     33.6794,     33.6939,     71.9536,
       840.5,     33.6798,     33.7117,     70.2423,
       900.5,     33.6804,     33.7208,     68.3057,
       960.5,     33.6811,     33.7205,     66.1799,
      1020.5,     33.6817,     33.7127,     64.1133,
      1080.5,     33.6821,     33.6987,     62.1908,
      1140.5,     33.6822,     33.6799,     60.2287,
      1200.5,      33.682,     33.6576,     58.5951,
      1260.5,     33.6814,     33.6333,     57.1754,
      1320.5,     33.6804,     33.6087,     55.9217,
      1380.5,      33.679,     33.5846,     54.9793,
      1440.5,     33.6773,     33.5621,     54.2181,
      1500.5,     33.6752,     33.5419,      53.727,
      1560.5,     33.6728,     33.5247,     53.4228,
      1620.5,     33.6703,     33.5106,      53.279,
      1680.5,     33.6675,     33.4997,     53.2459,
      1740.5,     33.6647,     33.4918,     53.3009,
      1800.5,     33.6618,     33.4866,     53.4165,
      1860.5,     33.6589,     33.4837,     53.5667,
      1920.5,      33.656,     33.4826,     53.7331,
      1980.5,     33.6531,     33.4829,     53.8751,
      2040.5,     33.6503,     33.4842,     54.0384,
      2100.5,     33.6476,     33.4862,     54.1745,
      2160.5,     33.6449,     33.4884,     54.3451,
      2220.5,     33.6423,     33.4906,     54.4333,
      2280.5,     33.6398,     33.4928,     54.4978,
      2340.5,     33.6374,     33.4948,     54.5436,
      2400.5,     33.6351,     33.4967,     54.5655,
      2460.5,     33.6328,     33.4983,     54.5691,
      2520.5,     33.6306,     33.4996,     54.5593,
      2580.5,     33.6284,     33.5006,     54.5372,
      2640.5,     33.6263,     33.5013,     54.5073,
      2700.5,     33.6243,     33.5017,     54.4778,
      2760.5,     33.6223,     33.5018,     54.4539,
      2820.5,     33.6203,     33.5017,     54.4314,
      2880.5,     33.6183,     33.5015,     54.4073,
      2940.5,     33.6164,     33.5011,     54.3772,
      3000.5,     33.6145,     33.5005,     54.3527,
      3060.5,     33.6126,        33.5,     54.3337,
      3120.5,     33.6107,     33.4996,     54.3195,
      3180.5,     33.6089,     33.4993,     54.3109,
      3240.5,     33.6071,     33.4992,     54.3046,
      3300.5,     33.6053,     33.4992,     54.3002,
      3360.5,     33.6035,     33.4993,     54.2938,
      3420.5,     33.6018,     33.4994,     54.2871,
      3480.5,     33.6001,     33.4994,     54.2806,
      3540.5,     33.5984,     33.4995,     54.2738,
      3600.5,     33.5968,     33.4995,     54.2671,
      3660.5,     33.5952,     33.4995,     54.2605,
      3720.5,     33.5936,     33.4994,     54.2539,
      3780.5,     33.5921,     33.4993,      54.247,
      3840.5,     33.5905,     33.4992,     54.2408,
      3900.5,      33.589,     33.4991,     54.2361,
      3960.5,     33.5875,     33.4991,     54.2319,
      4020.5,     33.5861,     33.4991,     54.2275,
      4080.5,     33.5846,     33.4993,     54.2211,
      4140.5,     33.5832,     33.4994,     54.2141,
      4200.5,     33.5818,     33.4995,     54.2068,
      4260.5,     33.5805,     33.4996,     54.1989,
      4320.5,     33.5791,     33.4996,     54.1915,
      4380.5,     33.5778,     33.4996,     54.1848,
      4440.5,     33.5765,     33.4996,     54.1772,
      4500.5,     33.5753,     33.4995,     54.1692,
      4560.5,      33.574,     33.4994,     54.1618,
      4620.5,     33.5728,     33.4994,     54.1561,
      4680.5,     33.5716,     33.4994,     54.1502,
      4740.5,     33.5704,     33.4995,     54.1434,
      4800.5,     33.5692,     33.4995,     54.1366,
      4860.5,      33.568,     33.4996,     54.1287,
      4920.5,     33.5669,     33.4996,     54.1222,
      4980.5,     33.5658,     33.4996,     54.1151,
      5040.5,     33.5647,     33.4995,     54.1074,
      5100.5,     33.5636,      33.499,      54.099,
      5160.5,     33.5625,     33.4986,     54.0954,
      5220.5,     33.5615,     33.4983,     54.0954,
      5280.5,     33.5604,     33.4983,     54.0964,
      5340.5,     33.5594,     33.4983,     54.0973,
