Timestamp,TC Compressor - SP,TC Compressor - PV,TC Compressor - OP,
         0.5,     33.7441,     33.7441,          65,
        60.5,     33.7447,     33.7447,          65,
       120.5,     33.7453,     33.7453,          65,
       180.5,     33.7459,     33.7459,          65,
       240.5,     33.7464,     33.7464,          65,
       300.5,     33.7466,     33.7466,          65,
       360.5,     33.7469,     33.7469,          65,
       420.5,     33.7473,     33.7473,          65,
       480.5,     33.7478,     33.7478,          65,
       540.5,     33.7484,     33.7484,          65,
       600.5,     33.7491,     33.7491,          65,
       660.5,     33.7498,     33.7498,          65,
       720.5,     33.7506,     33.7506,          65,
       780.5,     33.7514,     33.7514,          65,
       840.5,     33.7523,     33.7523,          65,
       900.5,     33.7531,     33.7531,          65,
       960.5,     33.7539,     33.7539,          65,
      1020.5,     33.7545,     33.7545,          65,
      1080.5,     33.7551,     33.7551,          65,
      1140.5,     33.7557,     33.7557,          65,
      1200.5,     33.7563,     33.7563,          65,
      1260.5,     33.7539,     33.7568,      64.968,
      1320.5,     33.7485,     33.7572,     64.8932,
      1380.5,     33.7431,     33.7573,     64.8062,
      1440.5,     33.7379,     33.7572,     64.7083,
      1500.5,     33.7328,     33.7569,     64.5997,
      1560.5,     33.7277,     33.7563,     64.4825,
      1620.5,     33.7227,     33.7552,     64.3588,
      1680.5,     33.7178,     33.7539,     64.2278,
      1740.5,      33.713,     33.7525,     64.0894,
      1800.5,     33.7083,     33.7511,     63.9426,
      1860.5,     33.7036,     33.7497,     63.7876,
      1920.5,      33.699,     33.7483,     63.6247,
      1980.5,     33.6945,     33.7469,     63.4543,
      2040.5,     33.6901,     33.7454,      63.277,
      2100.5,     33.6857,     33.7438,     63.0933,
      2160.5,     33.6814,     33.7421,     62.9041,
      2220.5,     33.6772,     33.7403,     62.7098,
      2280.5,     33.6731,     33.7384,     62.5112,
      2340.5,      33.669,     33.7364,     62.3086,
      2400.5,      33.665,     33.7342,     62.1025,
      2460.5,     33.6611,      33.732,     61.8931,
      2520.5,     33.6572,     33.7296,      61.681,
      2580.5,     33.6534,     33.7272,     61.4663,
      2640.5,     33.6496,     33.7246,     61.2503,
      2700.5,     33.6459,     33.7216,     61.0369,
      2760.5,     33.6423,     33.7185,     60.8236,
      2820.5,     33.6387,     33.7154,     60.6093,
      2880.5,     33.6352,     33.7124,     60.3939,
      2940.5,     33.6318,     33.7093,     60.1776,
      3000.5,     33.6284,     33.7063,     59.9605,
      3060.5,      33.625,     33.7033,     59.7428,
      3120.5,     33.6218,     33.7003,     59.5249,
      3180.5,     33.6185,     33.6973,     59.3069,
      3240.5,     33.6154,     33.6943,     59.0891,
      3300.5,     33.6122,     33.6913,     58.8718,
      3360.5,     33.6092,     33.6882,     58.6552,
      3420.5,     33.6062,     33.6851,     58.4393,
      3480.5,     33.6032,      33.682,     58.2246,
      3540.5,     33.6003,     33.6788,     58.0113,
      3600.5,     33.5974,     33.6757,     57.7993,
      3660.5,     33.5946,     33.6725,      57.589,
      3720.5,     33.5918,     33.6693,     57.3805,
      3780.5,     33.5891,      33.666,     57.1741,
      3840.5,     33.5864,     33.6627,     56.9702,
