Timestamp,TC Compressor - SP,TC Compressor - PV,TC Compressor - OP,A10 - Temperature,
         0.5,     33.4353,     33.4353,          50,    -8.09498,
        60.5,     33.4327,     33.4327,          50,    -8.11501,
       120.5,     33.4301,     33.4301,          50,     -8.1361,
       180.5,     33.4277,     33.4277,          50,    -8.15818,
       240.5,     33.4254,     33.4254,          50,     -8.1812,
       300.5,     33.4231,     33.4231,          50,    -8.20509,
       360.5,     33.4209,     33.4209,          50,    -8.22979,
       420.5,     33.4187,     33.4187,          50,    -8.25524,
       480.5,     33.4164,     33.4164,          50,    -8.28135,
       540.5,     33.4143,     33.4143,     12.1557,    -8.30806,
       600.5,     33.1636,     33.1636,     23.3088,     -8.3353,
       660.5,     32.7091,     32.7091,     33.2391,    -8.36299,
       720.5,     32.3638,     32.3638,     39.2106,    -8.39105,
       780.5,     32.3806,     32.3806,     43.2684,    -8.41942,
       840.5,     32.4806,     32.4806,     44.6292,      -8.448,
       900.5,     32.6124,     32.6124,     44.4437,    -8.47673,
       960.5,     32.7378,     32.7378,     43.0641,    -8.50552,
      1020.5,     32.8333,     32.8333,     41.0226,     -8.5343,
      1080.5,     32.8882,     32.8882,      38.435,    -8.56298,
      1140.5,     32.9004,     32.9004,     35.7123,    -8.59149,
      1200.5,     32.8734,     32.8734,     32.9043,    -8.61974,
      1260.5,      32.815,      32.815,     30.3027,    -8.64767,
      1320.5,     32.7336,     32.7336,     27.9212,     -8.6752,
      1380.5,     32.6376,     32.6376,     25.8947,    -8.70225,
      1440.5,     32.5353,     32.5353,     24.2324,    -8.72874,
      1500.5,     32.4308,     32.4308,     23.0203,     -8.7546,
      1560.5,     32.3295,     32.3295,     22.0828,    -8.77977,
      1620.5,     32.2368,     32.2368,     21.4874,    -8.80417,
      1680.5,     32.1562,     32.1562,     21.2175,    -8.82773,
      1740.5,     32.0893,     32.0893,     21.1363,     -8.8504,
      1800.5,      32.037,      32.037,     21.2566,    -8.87211,
      1860.5,     31.9988,     31.9988,     21.4895,    -8.89279,
      1920.5,     31.9734,     31.9734,     21.7936,     -8.9124,
      1980.5,     31.9591,     31.9591,     22.1705,    -8.93088,
      2040.5,     31.9539,     31.9539,     22.5194,    -8.94818,
      2100.5,     31.9557,     31.9557,     22.8692,    -8.96425,
