Timestamp,TC Compressor - SP,TC Compressor - PV,TC Compressor - OP,A10 - Temperature,
         0.5,       33.46,       33.46,     50.7712,    -8.09759,
        60.5,     33.4608,     33.4608,     50.7712,    -8.11777,
       120.5,     33.4616,     33.4616,     50.7712,    -8.13899,
       180.5,     33.4625,     33.4625,     50.7712,     -8.1612,
       240.5,     33.4634,     33.4634,     50.7712,    -8.18434,
       300.5,     33.4635,     33.4635,     50.7712,    -8.20834,
       360.5,     33.4623,     33.4623,     50.7712,    -8.23314,
       420.5,     33.4602,     33.4602,     50.7712,    -8.25868,
       480.5,     33.4574,     33.4574,     50.7712,    -8.28488,
       540.5,     33.4541,     33.4541,     50.7712,    -8.31166,
       600.5,     33.4507,     33.4507,     50.7712,    -8.33897,
       660.5,     33.4472,     33.4472,     50.7712,    -8.36671,
       720.5,     33.4438,     33.4438,     50.7715,    -8.39482,
       780.5,     33.4435,     33.4405,     50.8063,    -8.42322,
       840.5,     33.4432,     33.4375,     50.8458,    -8.45183,
       900.5,      33.443,     33.4348,       50.89,    -8.48057,
       960.5,     33.4427,     33.4323,     50.9373,    -8.50936,
      1020.5,     33.4424,     33.4302,     50.9874,    -8.53813,
      1080.5,     33.4422,     33.4283,     51.0402,    -8.56679,
      1140.5,     33.4419,     33.4265,     51.0954,    -8.59527,
      1200.5,     33.4416,      33.425,     51.1523,    -8.62349,
      1260.5,     33.4414,     33.4236,     51.2114,    -8.65137,
      1320.5,     33.4412,     33.4223,     51.2721,    -8.67884,
      1380.5,     33.4409,     33.4212,     51.3342,    -8.70581,
      1440.5,     33.4407,     33.4201,     51.3978,    -8.73222,
      1500.5,     33.4404,     33.4191,     51.4627,      -8.758,
      1560.5,     33.4402,     33.4183,     51.5283,    -8.78307,
      1620.5,       33.44,     33.4175,     51.5948,    -8.80736,
      1680.5,     33.4398,     33.4168,      51.662,    -8.83081,
      1740.5,     33.4395,     33.4162,     51.7296,    -8.85335,
      1800.5,     33.4393,     33.4156,     51.7975,    -8.87492,
      1860.5,     33.4391,     33.4152,     51.8655,    -8.89547,
      1920.5,     33.4389,     33.4147,     51.9334,    -8.91493,
      1980.5,     33.4387,     33.4144,     52.0011,    -8.93326,
      2040.5,     33.4385,     33.4141,     52.0685,     -8.9504,
      2100.5,     33.4383,     33.4139,     52.1353,     -8.9663,
      2160.5,     33.4381,     33.4138,     52.2012,    -8.98092,
      2220.5,     33.4379,     33.4138,     52.2664,    -8.99423,
      2280.5,     33.4377,     33.4138,     52.3304,    -9.00618,
      2340.5,     33.4375,     33.4138,     52.3931,    -9.01675,
      2400.5,     33.4374,      33.414,     52.4545,     -9.0259,
      2460.5,     33.4372,     33.4142,     52.5144,     -9.0336,
      2520.5,      33.437,     33.4144,     52.5723,    -9.03985,
      2580.5,     33.4368,     33.4148,     52.6284,    -9.04461,
      2640.5,     33.4367,     33.4151,     52.6825,    -9.04789,
      2700.5,     33.4365,     33.4156,     52.7342,    -9.04966,
      2760.5,     33.4363,     33.4161,     52.7837,    -9.04992,
      2820.5,     33.4362,     33.4167,     52.8304,    -9.04868,
      2880.5,      33.436,     33.4173,     52.8745,    -9.04593,
      2940.5,     33.4358,      33.418,      52.916,    -9.04169,
      3000.5,     33.4357,     33.4188,     52.9545,    -9.03596,
      3060.5,     33.4355,     33.4196,     52.9898,    -9.02876,
      3120.5,     33.4354,     33.4203,     53.0238,    -9.02011,
      3180.5,     33.4352,     33.4209,     53.0559,    -9.01004,
      3240.5,     33.4351,     33.4216,     53.0856,    -8.99857,
      3300.5,      33.435,     33.4224,     53.1122,    -8.98573,
      3360.5,     33.4348,     33.4231,     53.1362,    -8.97157,
      3420.5,     33.4347,     33.4239,     53.1577,     -8.9561,
      3480.5,     33.4345,     33.4247,     53.1767,    -8.93939,
      3540.5,     33.4344,     33.4255,      53.193,    -8.92148,
      3600.5,     33.4343,     33.4263,     53.2067,    -8.90241,
      3660.5,     33.4341,     33.4271,     53.2179,    -8.88223,
      3720.5,      33.434,     33.4279,     53.2264,    -8.86101,
      3780.5,     33.4339,     33.4287,     53.2323,     -8.8388,
      3840.5,     33.4338,     33.4296,     53.2356,    -8.81566,
      3900.5,     33.4337,     33.4304,      53.236,    -8.79166,
      3960.5,     33.4335,     33.4312,     53.2338,    -8.76686,
      4020.5,     33.4334,     33.4321,     53.2287,    -8.74132,
      4080.5,     33.4333,      33.433,     53.2208,    -8.71512,
      4140.5,     33.4332,     33.4339,     53.2102,    -8.68834,
      4200.5,     33.4331,     33.4348,     53.1966,    -8.66103,
      4260.5,      33.433,     33.4357,     53.1802,    -8.63329,
      4320.5,     33.4329,     33.4366,     53.1607,    -8.60518,
      4380.5,     33.4328,     33.4376,     53.1382,    -8.57678,
      4440.5,     33.4327,     33.4386,     53.1126,    -8.54817,
      4500.5,     33.4326,     33.4396,     53.0838,    -8.51943,
      4560.5,     33.4325,     33.4406,     53.0519,    -8.49064,
      4620.5,     33.4324,     33.4416,     53.0168,    -8.46187,
      4680.5,     33.4323,     33.4426,     52.9785,    -8.43321,
      4740.5,     33.4322,     33.4436,     52.9372,    -8.40473,
      4800.5,     33.4321,     33.4447,     52.8926,    -8.37651,
      4860.5,      33.432,     33.4457,     52.8448,    -8.34863,
      4920.5,     33.4319,     33.4468,     52.7937,    -8.32116,
      4980.5,     33.4318,     33.4479,     52.7396,    -8.29419,
      5040.5,     33.4317,     33.4489,     52.6823,    -8.26778,
      5100.5,     33.4316,       33.45,     52.6222,      -8.242,
      5160.5,     33.4315,      33.451,     52.5594,    -8.21693,
      5220.5,     33.4315,     33.4519,      52.494,    -8.19264,
      5280.5,     33.4314,     33.4529,     52.4261,    -8.16919,
      5340.5,     33.4313,     33.4538,     52.3559,    -8.14665,
      5400.5,     33.4312,     33.4546,     52.2837,    -8.12508,
      5460.5,     33.4311,     33.4554,     52.2095,    -8.10453,
      5520.5,     33.4311,     33.4562,     52.1333,    -8.08507,
      5580.5,      33.431,     33.4569,     52.0553,    -8.06674,
      5640.5,     33.4309,     33.4576,     51.9758,     -8.0496,
      5700.5,     33.4308,     33.4582,     51.8948,     -8.0337,
      5760.5,     33.4308,     33.4587,     51.8129,    -8.01908,
      5820.5,     33.4307,     33.4592,     51.7303,    -8.00577,
      5880.5,     33.4306,     33.4595,     51.6472,    -7.99382,
      5940.5,     33.4306,     33.4598,     51.5635,    -7.98325,
      6000.5,     33.4305,     33.4601,     51.4793,     -7.9741,
      6060.5,     33.4304,     33.4604,     51.3947,     -7.9664,
      6120.5,     33.4304,     33.4605,     51.3099,    -7.96015,
      6180.5,     33.4303,     33.4607,     51.2249,    -7.95539,
      6240.5,     33.4302,     33.4607,     51.1401,    -7.95211,
      6300.5,     33.4302,     33.4607,     51.0557,    -7.95034,
      6360.5,     33.4301,     33.4607,      50.972,    -7.95008,
      6420.5,     33.4301,     33.4605,     50.8892,    -7.95132,
      6480.5,       33.43,     33.4603,     50.8075,    -7.95407,
      6540.5,     33.4299,       33.46,     50.7272,    -7.95831,
      6600.5,     33.4299,     33.4596,     50.6485,    -7.96404,
      6660.5,     33.4298,     33.4592,     50.5716,    -7.97124,
      6720.5,     33.4298,     33.4586,     50.4968,    -7.97989,
      6780.5,     33.4297,      33.458,     50.4243,    -7.98996,
      6840.5,     33.4297,     33.4573,     50.3544,    -8.00143,
      6900.5,     33.4296,     33.4564,     50.2886,    -8.01427,
      6960.5,     33.4296,     33.4546,     50.2346,    -8.02843,
      7020.5,     33.4295,     33.4523,      50.192,     -8.0439,
      7080.5,     33.4295,     33.4493,     50.1632,    -8.06061,
      7140.5,     33.4294,     33.4459,     50.1476,    -8.07852,
      7200.5,     33.4294,     33.4427,     50.1389,    -8.09759,
      7260.5,     33.4293,     33.4397,     50.1359,    -8.11777,
