Timestamp,TC Compressor - SP,TC Compressor - PV,TC Compressor - OP,

         0.5,     34.0598,     34.0598,          70,
        60.5,     34.0606,     34.0606,          70,
       120.5,     34.0614,     34.0614,          70,
       180.5,     34.0624,     34.0624,          70,
       240.5,     34.0634,     34.0634,          70,
       300.5,     34.0644,     34.0644,          70,
       360.5,     34.0654,     34.0654,          70,
       420.5,     34.0662,     34.0662,          70,
       480.5,      34.067,      34.067,          70,
       540.5,     34.0563,     34.0563,     59.8302,
       600.5,     34.0273,     34.0273,     59.9458,
       660.5,     33.9984,     33.9984,     58.9612,
       720.5,     33.9696,     33.9696,     56.9889,
       780.5,     33.9392,     33.9392,     54.5862,
       840.5,     33.9041,     33.9041,     51.4872,
       900.5,     33.8629,     33.8629,     48.5814,
       960.5,     33.7731,     33.7731,     45.6912,
      1020.5,     34.8242,     34.8242,     40.1349,
      1080.5,       35.45,       35.45,     17.3338,
      1140.5,     35.0212,     35.0212,          10,
      1200.5,     34.2674,     34.2674,          10,
      1260.5,     33.4755,     33.4755,          10,
      1320.5,     32.7391,     32.7391,          10,
      1380.5,     32.2841,     32.2841,          10,
      1440.5,     32.1325,     32.1325,     18.2606,
      1500.5,     32.2018,     32.2018,     33.2607,
      1560.5,      32.387,      32.387,     50.4099,
      1620.5,     32.7095,     32.7095,     63.9804,
      1680.5,     33.1099,     33.1099,     70.7162,
      1740.5,     33.4845,     33.4845,     72.0987,
      1800.5,     33.7629,     33.7629,     69.6785,
      1860.5,     33.9246,     33.9246,     65.2403,
      1920.5,     33.9796,     33.9796,     59.0739,
      1980.5,     33.9494,     33.9494,     53.8487,
      2040.5,     33.8671,     33.8671,     49.0721,
      2100.5,     33.7608,     33.7608,     45.7616,
      2160.5,     33.6533,     33.6533,     43.6713,
      2220.5,     33.5607,     33.5607,      42.699,
      2280.5,     33.4931,     33.4931,     42.5404,
      2340.5,     33.4552,     33.4552,     42.9779,
      2400.5,     33.4454,     33.4454,     43.5784,
      2460.5,     33.4579,     33.4579,     44.1125,
      2520.5,     33.4839,     33.4839,     44.4982,
      2580.5,     33.5145,     33.5145,     44.4227,
      2640.5,     33.5381,     33.5381,     44.0322,
      2700.5,     33.5501,     33.5501,     43.5055,
      2760.5,     33.5496,     33.5496,     42.9161,
      2820.5,     33.5383,     33.5383,      42.447,
      2880.5,     33.5204,     33.5204,     42.1503,
      2940.5,     33.4998,     33.4998,     42.0636,
      3000.5,     33.4805,     33.4805,     42.1978,
      3060.5,     33.4657,     33.4657,     42.5315,
      3120.5,     33.4573,     33.4573,     42.9705,
      3180.5,     33.4559,     33.4559,     43.4233,
      3240.5,     33.4604,     33.4604,     43.8686,
      3300.5,      33.469,      33.469,     44.2157,
      3360.5,     33.4805,     33.4805,     44.4727,
      3420.5,     33.4928,     33.4928,     44.5649,
      3480.5,     33.5042,     33.5042,     44.5397,
      3540.5,     33.5131,     33.5131,     44.3923,
      3600.5,     33.5175,     33.5175,     44.1968,
      3660.5,     33.5174,     33.5174,     43.9907,
      3720.5,      33.514,      33.514,     43.8119,
      3780.5,     33.5084,     33.5084,     43.6772,
      3840.5,     33.5021,     33.5021,     43.6156,
      3900.5,     33.4961,     33.4961,     43.6219,
      3960.5,     33.4915,     33.4915,     43.6837,
      4020.5,     33.4887,     33.4887,     43.7884,
      4080.5,     33.4881,     33.4881,     43.8881,
      4140.5,     33.4893,     33.4893,     43.9837,
      4200.5,     33.4913,     33.4913,     44.0698,
      4260.5,     33.4936,     33.4936,     44.1311,
      4320.5,     33.4963,     33.4963,     44.1604,
      4380.5,     33.4991,     33.4991,     44.1612,
      4440.5,     33.5016,     33.5016,     44.1344,
      4500.5,     33.5034,     33.5034,     44.0816,
      4560.5,     33.5041,     33.5041,     44.0246,
      4620.5,     33.5037,     33.5037,     43.9747,
      4680.5,     33.5024,     33.5024,     43.9277,
      4740.5,     33.5005,     33.5005,     43.8995,
      4800.5,     33.4984,     33.4984,      43.892,
      4860.5,     33.4964,     33.4964,     43.9091,
      4920.5,     33.4949,     33.4949,     43.9421,
      4980.5,     33.4938,     33.4938,     43.9905,
      5040.5,     33.4933,     33.4933,     44.0408,
      5100.5,     33.4933,     33.4933,     44.0715,
      5160.5,     33.4935,     33.4935,      44.112,
      5220.5,     33.4943,     33.4943,     44.1624,
      5280.5,     33.4956,     33.4956,     44.1965,
      5340.5,     33.4974,     33.4974,     44.2141,
      5400.5,     33.4993,     33.4993,     44.2108,
      5460.5,     33.5009,     33.5009,     44.1886,
      5520.5,     33.5021,     33.5021,     44.1509,
      5580.5,     33.5025,     33.5025,     44.1147,
      5640.5,     33.5021,     33.5021,      44.078,
      5700.5,      33.501,      33.501,     44.0441,
      5760.5,     33.4996,     33.4996,     44.0255,
