Timestamp,TC Compressor - SP,TC Compressor - PV,TC Compressor - OP,
         0.5,     33.8369,     33.8369,          70,
        60.5,     33.8376,     33.8376,          70,
       120.5,     33.8384,     33.8384,          70,
       180.5,     33.8391,     33.8391,          70,
       240.5,     33.8399,     33.8399,          70,
       300.5,     33.8407,     33.8407,          70,
       360.5,     33.8414,     33.8414,          70,
       420.5,     33.8422,     33.8422,          70,
       480.5,      33.843,      33.843,          70,
       540.5,     33.8437,     33.8437,          70,
       600.5,     33.8445,     33.8445,          70,
       660.5,     33.8453,     33.8453,          70,
       720.5,      33.846,      33.846,          70,
       780.5,     33.8394,     33.8467,     69.9161,
       840.5,     33.8326,     33.8472,     69.8121,
       900.5,     33.8259,     33.8473,     69.6927,
       960.5,     33.8193,     33.8472,     69.5589,
      1020.5,     33.8128,     33.8469,     69.4115,
      1080.5,     33.8064,     33.8463,     69.2512,
      1140.5,     33.8001,     33.8455,     69.0789,
      1200.5,     33.7939,     33.8444,     68.8952,
      1260.5,     33.7879,     33.8432,     68.7009,
      1320.5,     33.7819,     33.8418,     68.4966,
      1380.5,      33.776,     33.8402,     68.2829,
      1440.5,     33.7702,     33.8385,     68.0601,
      1500.5,     33.7646,     33.8366,     67.8295,
      1560.5,      33.759,     33.8346,     67.5909,
      1620.5,     33.7535,     33.8324,     67.3452,
      1680.5,     33.7481,     33.8301,     67.0932,
      1740.5,     33.7428,     33.8276,     66.8358,
      1800.5,     33.7375,     33.8247,     66.5768,
      1860.5,     33.7324,     33.8216,     66.3139,
      1920.5,     33.7273,     33.8185,     66.0463,
      1980.5,     33.7224,     33.8155,     65.7741,
      2040.5,     33.7175,     33.8125,     65.4973,
      2100.5,     33.7127,     33.8094,     65.2166,
      2160.5,     33.7079,     33.8064,     64.9322,
      2220.5,     33.7033,     33.8032,     64.6447,
      2280.5,     33.6987,        33.8,     64.3548,
      2340.5,     33.6942,     33.7968,     64.0626,
      2400.5,     33.6898,     33.7935,     63.7686,
      2460.5,     33.6854,     33.7901,     63.4733,
      2520.5,     33.6811,     33.7866,      63.177,
      2580.5,     33.6769,     33.7831,       62.88,
      2640.5,     33.6728,     33.7795,     62.5826,
      2700.5,     33.6687,     33.7758,     62.2854,
      2760.5,     33.6647,     33.7721,     61.9884,
      2820.5,     33.6608,     33.7683,     61.6923,
      2880.5,     33.6569,     33.7644,     61.3978,
      2940.5,     33.6531,     33.7604,     61.1052,
      3000.5,     33.6494,     33.7564,     60.8145,
      3060.5,     33.6457,     33.7523,     60.5255,
      3120.5,      33.642,     33.7482,     60.2384,
      3180.5,     33.6385,     33.7441,     59.9541,
      3240.5,      33.635,     33.7399,     59.6722,
      3300.5,     33.6315,     33.7358,     59.3927,
      3360.5,     33.6281,     33.7316,     59.1158,
      3420.5,     33.6248,     33.7275,     58.8414,
      3480.5,     33.6215,     33.7234,     58.5698,
      3540.5,     33.6183,     33.7192,     58.3013,
      3600.5,     33.6151,     33.7151,     58.0357,
      3660.5,      33.612,      33.711,     57.7733,
      3720.5,      33.609,     33.7068,     57.5143,
      3780.5,     33.6059,     33.7027,     57.2585,
      3840.5,      33.603,     33.6986,     57.0063,
      3900.5,     33.6001,     33.6945,     56.7578,
      3960.5,     33.5972,     33.6904,     56.5131,
      4020.5,     33.5944,     33.6863,     56.2723,
      4080.5,     33.5916,     33.6822,     56.0353,
      4140.5,     33.5889,     33.6782,     55.8022,
      4200.5,     33.5862,     33.6742,     55.5728,
      4260.5,     33.5835,     33.6702,     55.3472,
      4320.5,     33.5809,     33.6662,     55.1256,
      4380.5,     33.5784,     33.6623,     54.9079,
      4440.5,     33.5759,     33.6584,      54.694,
      4500.5,     33.5734,     33.6545,     54.4841,
      4560.5,      33.571,     33.6507,      54.278,
      4620.5,     33.5686,     33.6469,     54.0757,
      4680.5,     33.5662,     33.6431,     53.8774,
      4740.5,     33.5639,     33.6394,     53.6828,
      4800.5,     33.5617,     33.6358,     53.4918,
      4860.5,     33.5594,     33.6321,      53.305,
      4920.5,     33.5572,     33.6285,     53.1223,
      4980.5,     33.5551,     33.6246,     52.9471,
      5040.5,     33.5529,     33.6206,      52.778,
      5100.5,     33.5509,     33.6167,     52.6132,
      5160.5,     33.5488,      33.613,     52.4518,
      5220.5,     33.5468,     33.6095,     52.2933,
      5280.5,     33.5448,     33.6061,     52.1377,
      5340.5,     33.5428,     33.6028,     51.9845,
      5400.5,     33.5409,     33.5997,     51.8338,
      5460.5,      33.539,     33.5967,     51.6857,
      5520.5,     33.5372,     33.5938,       51.54,
      5580.5,     33.5353,     33.5909,      51.397,
      5640.5,     33.5335,      33.588,     51.2566,
      5700.5,     33.5318,     33.5853,     51.1188,
      5760.5,       33.53,     33.5825,     50.9838,
      5820.5,     33.5283,     33.5798,     50.8514,
      5880.5,     33.5266,     33.5771,     50.7216,
      5940.5,      33.525,     33.5745,     50.5944,
      6000.5,     33.5233,     33.5719,       50.47,
      6060.5,     33.5217,     33.5693,     50.3484,
      6120.5,     33.5202,     33.5667,     50.2301,
      6180.5,     33.5186,      33.564,     50.1154,
      6240.5,     33.5171,     33.5614,     50.0041,
      6300.5,     33.5156,     33.5587,     49.8962,
      6360.5,     33.5141,     33.5561,     49.7915,
      6420.5,     33.5127,     33.5534,       49.69,
      6480.5,     33.5113,     33.5509,     49.5915,
      6540.5,     33.5099,     33.5484,     49.4954,
      6600.5,     33.5085,      33.546,     49.4011,
      6660.5,     33.5071,     33.5438,     49.3086,
      6720.5,     33.5058,     33.5416,     49.2176,
      6780.5,     33.5045,     33.5395,     49.1284,
      6840.5,     33.5032,     33.5375,     49.0411,
      6900.5,     33.5019,     33.5355,     48.9555,
      6960.5,     33.5007,     33.5335,     48.8717,
      7020.5,     33.4994,     33.5316,     48.7897,
      7080.5,     33.4982,     33.5296,     48.7102,
      7140.5,     33.4971,     33.5276,      48.634,
      7200.5,     33.4959,     33.5254,     48.5618,
      7260.5,     33.4947,     33.5233,     48.4922,
      7320.5,     33.4936,     33.5213,     48.4242,
      7380.5,     33.4925,     33.5194,     48.3576,
      7440.5,     33.4914,     33.5176,     48.2924,
      7500.5,     33.4903,     33.5158,     48.2284,
      7560.5,     33.4893,     33.5141,      48.166,
      7620.5,     33.4883,     33.5124,     48.1055,
      7680.5,     33.4872,     33.5107,     48.0469,
      7740.5,     33.4862,     33.5091,       47.99,
      7800.5,     33.4852,     33.5074,     47.9348,
      7860.5,     33.4843,     33.5058,     47.8813,
      7920.5,     33.4833,     33.5043,     47.8292,
      7980.5,     33.4824,     33.5027,     47.7792,
      8040.5,     33.4814,     33.5011,     47.7315,
      8100.5,     33.4805,     33.4995,     47.6849,
      8160.5,     33.4796,     33.4981,     47.6391,
      8220.5,     33.4788,     33.4967,     47.5942,
      8280.5,     33.4779,     33.4954,     47.5506,
      8340.5,     33.4771,      33.494,     47.5084,
      8400.5,     33.4762,     33.4927,     47.4674,
      8460.5,     33.4754,     33.4912,     47.4302,
      8520.5,     33.4746,     33.4897,     47.3951,
      8580.5,     33.4738,     33.4883,      47.361,
      8640.5,      33.473,      33.487,     47.3273,
      8700.5,     33.4722,     33.4858,     47.2935,
      8760.5,     33.4715,     33.4848,     47.2598,
      8820.5,     33.4707,     33.4838,     47.2263,
      8880.5,       33.47,     33.4828,     47.1936,
      8940.5,     33.4693,     33.4818,     47.1616,
      9000.5,     33.4686,     33.4809,     47.1299,
      9060.5,     33.4679,       33.48,     47.0985,
      9120.5,     33.4672,     33.4791,     47.0675,
      9180.5,     33.4665,     33.4783,     47.0367,
      9240.5,     33.4659,     33.4774,     47.0064,
      9300.5,     33.4652,     33.4764,     46.9788,
      9360.5,     33.4646,      33.475,     46.9567,
      9420.5,      33.464,     33.4736,      46.937,
      9480.5,     33.4633,     33.4724,     46.9176,
      9540.5,     33.4627,     33.4713,     46.8982,
      9600.5,     33.4621,     33.4704,     46.8786,
      9660.5,     33.4615,     33.4695,     46.8589,
      9720.5,      33.461,     33.4688,     46.8388,
      9780.5,     33.4604,     33.4682,     46.8182,
      9840.5,     33.4598,     33.4675,     46.7975,
      9900.5,     33.4593,      33.467,     46.7767,
      9960.5,     33.4587,     33.4664,     46.7558,
     10020.5,     33.4582,     33.4659,      46.735,
     10080.5,     33.4577,     33.4653,     46.7143,
     10140.5,     33.4572,     33.4647,     46.6946,
     10200.5,     33.4567,      33.464,     46.6764,
     10260.5,     33.4562,     33.4632,     46.6598,
     10320.5,     33.4557,     33.4623,     46.6445,
     10380.5,     33.4552,     33.4615,     46.6306,
     10440.5,     33.4547,     33.4603,     46.6209,
     10500.5,     33.4542,      33.459,     46.6159,
     10560.5,     33.4538,     33.4578,     46.6116,
     10620.5,     33.4533,     33.4568,     46.6069,
     10680.5,     33.4529,      33.456,      46.601,
     10740.5,     33.4525,     33.4554,     46.5942,
     10800.5,      33.452,      33.455,     46.5863,
     10860.5,     33.4516,     33.4546,     46.5775,
     10920.5,     33.4512,     33.4543,     46.5682,
     10980.5,     33.4508,      33.454,     46.5586,
     11040.5,     33.4504,     33.4537,     46.5485,
     11100.5,       33.45,     33.4534,     46.5382,
     11160.5,     33.4496,     33.4531,     46.5275,
     11220.5,     33.4492,     33.4529,     46.5166,
     11280.5,     33.4488,     33.4526,     46.5056,
     11340.5,     33.4485,     33.4522,     46.4951,
     11400.5,     33.4481,     33.4517,     46.4862,
     11460.5,     33.4477,     33.4512,     46.4787,
     11520.5,     33.4474,     33.4506,     46.4724,
     11580.5,     33.4471,     33.4499,     46.4673,
     11640.5,     33.4467,     33.4492,     46.4631,
     11700.5,     33.4464,     33.4486,     46.4596,
     11760.5,     33.4461,      33.448,     46.4567,
     11820.5,     33.4457,     33.4474,     46.4544,
     11880.5,     33.4454,     33.4469,     46.4525,
     11940.5,     33.4451,     33.4463,     46.4511,
     12000.5,     33.4448,     33.4458,     46.4499,
     12060.5,     33.4445,     33.4453,     46.4492,
     12120.5,     33.4442,     33.4449,     46.4488,
     12180.5,     33.4439,     33.4444,     46.4486,
     12240.5,     33.4436,      33.444,     46.4488,
     12300.5,     33.4433,     33.4436,     46.4492,
     12360.5,      33.443,     33.4432,     46.4499,
     12420.5,     33.4428,     33.4428,     46.4509,
     12480.5,     33.4425,     33.4424,     46.4522,
     12540.5,     33.4422,      33.442,     46.4536,
     12600.5,      33.442,     33.4417,     46.4553,
     12660.5,     33.4417,     33.4413,     46.4572,
     12720.5,     33.4415,      33.441,     46.4594,
     12780.5,     33.4412,     33.4407,     46.4618,
     12840.5,      33.441,     33.4403,     46.4643,
     12900.5,     33.4407,       33.44,     46.4671,
     12960.5,     33.4405,     33.4397,       46.47,
     13020.5,     33.4403,     33.4394,     46.4733,
     13080.5,       33.44,     33.4391,     46.4767,
     13140.5,     33.4398,     33.4388,     46.4803,
     13200.5,     33.4396,     33.4385,     46.4842,
     13260.5,     33.4394,     33.4382,     46.4882,
     13320.5,     33.4392,     33.4379,     46.4925,
     13380.5,      33.439,     33.4376,     46.4968,
     13440.5,     33.4388,     33.4373,     46.5015,
     13500.5,     33.4386,      33.437,     46.5063,
     13560.5,     33.4384,     33.4368,     46.5112,
     13620.5,     33.4382,     33.4365,     46.5163,
     13680.5,      33.438,     33.4362,     46.5216,
     13740.5,     33.4378,      33.436,     46.5271,
     13800.5,     33.4376,     33.4357,     46.5327,
     13860.5,     33.4374,     33.4355,     46.5385,
     13920.5,     33.4372,     33.4353,     46.5444,
     13980.5,     33.4371,      33.435,     46.5505,
     14040.5,     33.4369,     33.4348,     46.5567,
     14100.5,     33.4367,     33.4346,     46.5631,
     14160.5,     33.4365,     33.4343,     46.5697,
     14220.5,     33.4364,     33.4341,     46.5763,
     14280.5,     33.4362,     33.4339,     46.5832,
     14340.5,      33.436,     33.4337,     46.5902,
     14400.5,     33.4359,     33.4335,     46.5972,
     14460.5,     33.4357,     33.4333,     46.6045,
     14520.5,     33.4356,     33.4331,     46.6119,
     14580.5,     33.4354,     33.4329,     46.6193,
     14640.5,     33.4353,     33.4327,      46.627,
     14700.5,     33.4351,     33.4325,     46.6347,
     14760.5,      33.435,     33.4323,     46.6425,
     14820.5,     33.4349,     33.4321,     46.6506,
     14880.5,     33.4347,     33.4319,     46.6586,
     14940.5,     33.4346,     33.4317,     46.6668,
     15000.5,     33.4344,     33.4316,     46.6751,
     15060.5,     33.4343,     33.4314,     46.6835,
     15120.5,     33.4342,     33.4312,      46.692,
     15180.5,     33.4341,      33.431,     46.7006,
     15240.5,     33.4339,     33.4309,     46.7093,
     15300.5,     33.4338,     33.4307,     46.7186,
     15360.5,     33.4337,     33.4301,     46.7322,
     15420.5,     33.4336,     33.4296,     46.7471,
     15480.5,     33.4335,     33.4292,     46.7614,
     15540.5,     33.4333,     33.4289,     46.7746,
     15600.5,     33.4332,     33.4288,      46.787,
     15660.5,     33.4331,     33.4287,     46.7989,
     15720.5,      33.433,     33.4287,     46.8096,
     15780.5,     33.4329,     33.4288,      46.819,
     15840.5,     33.4328,      33.429,     46.8274,
     15900.5,     33.4327,     33.4291,     46.8348,
     15960.5,     33.4326,     33.4293,     46.8413,
     16020.5,     33.4325,     33.4295,     46.8469,
     16080.5,     33.4324,     33.4297,     46.8518,
     16140.5,     33.4323,     33.4298,     46.8566,
     16200.5,     33.4322,     33.4298,     46.8626,
     16260.5,     33.4321,     33.4297,     46.8696,
     16320.5,      33.432,     33.4293,     46.8796,
     16380.5,     33.4319,     33.4287,     46.8921,
     16440.5,     33.4318,     33.4283,     46.9047,
     16500.5,     33.4317,      33.428,     46.9165,
     16560.5,     33.4317,     33.4279,     46.9274,
     16620.5,     33.4316,     33.4278,     46.9377,
     16680.5,     33.4315,     33.4278,     46.9472,
     16740.5,     33.4314,     33.4279,     46.9556,
     16800.5,     33.4313,      33.428,     46.9633,
     16860.5,     33.4312,     33.4279,     46.9716,
     16920.5,     33.4312,     33.4277,      46.983,
     16980.5,     33.4311,     33.4272,     46.9969,
     17040.5,      33.431,     33.4268,     47.0112,
     17100.5,     33.4309,     33.4265,     47.0252,
     17160.5,     33.4309,     33.4263,      47.039,
     17220.5,     33.4308,     33.4261,     47.0524,
     17280.5,     33.4307,      33.426,     47.0658,
     17340.5,     33.4306,      33.426,     47.0787,
     17400.5,     33.4306,     33.4259,     47.0912,
     17460.5,     33.4305,      33.426,     47.1027,
     17520.5,     33.4304,     33.4261,     47.1131,
     17580.5,     33.4304,     33.4263,     47.1223,
     17640.5,     33.4303,     33.4265,     47.1304,
     17700.5,     33.4303,     33.4267,     47.1377,
     17760.5,     33.4302,     33.4269,     47.1443,
     17820.5,     33.4301,      33.427,     47.1514,
     17880.5,     33.4301,      33.427,     47.1593,
     17940.5,       33.43,     33.4269,     47.1683,
     18000.5,       33.43,     33.4267,     47.1781,
     18060.5,     33.4299,     33.4264,     47.1898,
     18120.5,     33.4298,     33.4257,     47.2068,
     18180.5,     33.4298,     33.4251,     47.2246,
     18240.5,     33.4297,     33.4247,     47.2418,
     18300.5,     33.4297,     33.4245,     47.2575,
     18360.5,     33.4296,     33.4244,     47.2715,
     18420.5,     33.4296,     33.4245,     47.2844,
     18480.5,     33.4295,     33.4246,     47.2967,
     18540.5,     33.4295,     33.4247,     47.3081,
     18600.5,     33.4294,     33.4249,     47.3184,
     18660.5,     33.4294,     33.4251,     47.3278,
     18720.5,     33.4293,     33.4253,     47.3364,
     18780.5,     33.4293,     33.4256,     47.3441,
     18840.5,     33.4292,     33.4258,     47.3511,
     18900.5,     33.4292,     33.4259,     47.3583,
     18960.5,     33.4291,      33.426,     47.3664,
     19020.5,     33.4291,     33.4259,     47.3755,
     19080.5,     33.4291,     33.4257,     47.3855,
     19140.5,      33.429,     33.4255,     47.3963,
     19200.5,      33.429,     33.4254,     47.4076,
     19260.5,     33.4289,     33.4252,     47.4193,
